ID,開催回,区分,問題番号,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
146,2024年度,午後,問題 36,東洋医学概論,脾の運化機能が低下して起こるのはどれか。,咳嗽,食欲不振・軟便,動悸,耳鳴り,2,脾は消化を司るため、機能低下で食欲不振や下痢が起こります。
147,2024年度,午後,問題 37,東洋医学概論,肺気虚の症状として適切なのはどれか。,息切れ,のぼせ,便秘,口渇,1,肺の気が不足すると、呼吸の力が弱まり息切れしやすくなります。
148,2024年度,午後,問題 38,東洋医学概論,心火旺の症状として正しいのはどれか。,脈が遅い,舌先が赤い・口内炎,足の冷え,嗜眠,2,心の熱が強まると、心が開竅する舌に症状が現れます。
149,2024年度,午後,問題 39,東洋医学概論,四診のうち、においを嗅いだり、声を聴くのはどれか。,望診,聞診,問診,切診,2,聞診は耳で声を聴き、鼻でにおいを嗅ぐ診察法です。
150,2024年度,午後,問題 40,東洋医学概論,病の原因に対して直接行う治療はどれか。,正治,反治,標治,従治,1,寒に熱、熱に寒のように性質と反対の治療をするのが正治です。
151,2024年度,午後,問題 41,経絡経穴概論,手の太陰肺経の次はどの経脈に流れるか。,手の陽明大腸経,足の陽明胃経,足の太陰脾経,手の少陰心経,1,肺（手太陰）→大腸（手陽明）→胃（足陽明）の順に流れます。
152,2024年度,午後,問題 42,経絡経穴概論,足の少陰腎経の流注が始まるのはどこか。,足の小指,足の親指,足の裏,足の甲,3,腎経は足の小指から始まり、足の裏（湧泉）を通ります。
153,2024年度,午後,問題 43,経絡経穴概論,骨度法において、前髪際から後髪際までは何寸か。,10 寸,12 寸,15 寸,18 寸,2,頭部の前後髪際間は12寸と定められています。
154,2024年度,午後,問題 44,経絡経穴概論,骨度法において、膝蓋骨上縁から大転子までは何寸か。,13 寸,16 寸,19 寸,22 寸,3,大転子から膝関節（膝窩横紋）までは19寸です。
155,2024年度,午後,問題 45,経絡経穴概論,肩甲棘の下縁と同じ高さにある経穴はどれか。,秉風,天宗,臑兪,曲垣,3,臑兪（じゅゆ）は肩甲棘下縁の外側に位置します。
156,2024年度,午後,問題 46,経絡経穴概論,胸骨体基底部と同じ高さにある経穴はどれか。,鳩尾,中庭,膻中,玉堂,2,中庭は胸骨体基底部の陥凹部にあります。
157,2024年度,午後,問題 47,経絡経穴概論,取穴部位において、第4中足骨頭の外側に取るのはどれか。,足臨泣,侠谿,地五会,足竅陰,1,足臨泣は第4・第5中足骨底の接合部付近に取ります。
158,2024年度,午後,問題 48,経絡経穴概論,肘窩横紋上にない経穴はどれか。,尺沢,曲沢,曲池,少海,3,曲池は肘を曲げた時にできるシワの外端に取ります。
159,2024年度,午後,問題 49,経絡経穴概論,足の陽明胃経の経穴はどれか。,下巨虚,陽陵泉,懸鐘,光明,1,下巨虚は胃経、陽陵泉・懸鐘・光明は胆経です。
160,2024年度,午後,問題 50,経絡経穴概論,原穴について正しいのはどれか。,陽経のみにある,三焦の原気が集まる,肘膝より近位にある,郄穴と同じ部位にある,2,原穴は「難経」において三焦の原気が現れる場所とされます。
161,2024年度,午後,問題 51,経絡経穴概論,肩甲骨上角の近くにある経穴はどれか。,肩外兪,肩中兪,曲垣,肩井,3,曲垣は肩甲棘内側端の上際、肩甲骨上角の近くにあります。
162,2024年度,午後,問題 52,経絡経穴概論,橈骨茎状突起と舟状骨の間にある経穴はどれか。,太淵,列欠,陽渓,経渠,1,太淵は橈骨茎状突起と舟状骨の間の陥凹部です。
163,2024年度,午後,問題 53,経絡経穴概論,膝蓋骨尖の下縁と同じ高さにある経穴はどれか。,犢鼻,梁丘,血海,陰陵泉,1,犢鼻は膝蓋靭帯の外側陥凹部にあります。
164,2024年度,午後,問題 54,経絡経穴概論,手の少陽三焦経の経穴はどれか。,陽池,陽谷,陽黶,陽渓,1,陽池は三焦経、陽谷は小腸経、陽渓は大腸経です。
165,2024年度,午後,問題 55,経絡経穴概論,下顎角の前方、咬筋付着部の前方にある経穴はどれか。,頬車,大迎,地倉,下関,2,大迎は下顎角の前方、咬筋付着部の前縁にあります。
166,2024年度,午後,問題 56,経絡経穴概論,足の第4指外側爪甲根角にある経穴はどれか。,足竅陰,至陰,厲兌,大敦,1,足竅陰は胆経、至陰は膀胱経、厲兌は胃経です。
167,2024年度,午後,問題 57,経絡経穴概論,第1中足骨基底部の前方陥凹部にある経穴はどれか。,太白,公孫,商丘,然谷,2,公孫は足内側、第1中足骨基底部の前下方にあります。
168,2024年度,午後,問題 58,経絡経穴概論,手関節から3寸にある三焦経の経穴はどれか。,支溝,外関,四瀆,三陽絡,1,支溝は三焦経で手関節後面から3寸に位置します。
169,2024年度,午後,問題 59,経絡経穴概論,腓骨頭の前下方にある経穴はどれか。,陽陵泉,陰陵泉,足三里,地機,1,陽陵泉は腓骨頭の前下方の陥凹部にあります。
170,2024年度,午後,問題 60,経絡経穴概論,第7頸椎棘突起下にある督脈の経穴はどれか。,大椎,身柱,至陽,命門,1,第7頸椎と第1胸椎の間にあるのが大椎です。
171,2024年度,午後,問題 61,東洋医学臨床論,咳嗽、黄色い粘痰、発熱が見られる弁証はどれか。,肺気虚,痰熱阻肺,肺陰虚,風寒束肺,2,肺に痰と熱が停滞している状態です。
172,2024年度,午後,問題 62,東洋医学臨床論,食後の腹痛、呑酸、腐臭のする排便が見られるのはどれか。,脾気虚,食滞胃脘,肝火上炎,腎虚,2,未消化物の停滞（食滞）による症状です。
173,2024年度,午後,問題 63,東洋医学臨床論,頭痛、眩暈、イライラ、顔面紅潮が見られるのはどれか。,肝陽上亢,腎陰虚,脾湿,肺気虚,1,肝の陽気が上昇しすぎることで起こります。
174,2024年度,午後,問題 64,東洋医学臨床論,心悸、不眠、多夢、健忘、舌淡、脈細が見られるのはどれか。,心血虚,心火旺,痰迷心竅,心陽虚,1,心の血が不足し、精神が安定しない状態です。
175,2024年度,午後,問題 65,東洋医学臨床論,明け方の下痢、腰膝の冷え、頻尿が見られるのはどれか。,脾陽虚,腎陽虚,大腸湿熱,肝気鬱結,2,腎陽の不足による五更下痢の症状です。
176,2024年度,午後,問題 66,東洋医学臨床論,全身の浮腫、尿量減少、お腹の張りが見られるのはどれか。,水湿内停,血瘀,気滞,陰虚,1,水分代謝が滞り、体内に水が溜まった状態です。
177,2024年度,午後,問題 67,東洋医学臨床論,刺痛（刺す痛み）、夜間に悪化、舌に紫斑があるのはどれか。,気虚,気滞,血瘀,血虚,3,血が滞る瘀血では、固定性の刺痛が特徴です。
178,2024年度,午後,問題 68,東洋医学臨床論,経閉、めまい、顔色不良、爪がもろいのはどれか。,血虚,陽虚,湿熱,実熱,1,血が不足し全身を栄養できない状態です。
179,2024年度,午後,問題 69,東洋医学臨床論,頚部肩甲帯の神経根症状を確認するテストはどれか。,スパーリング,ラセーグ,トレンデレンブルグ,ヤーガソン,1,スパーリングテストは神経根障害を調べます。
180,2024年度,午後,問題 70,東洋医学臨床論,腰椎椎間板ヘルニアで陽性になりやすいのはどれか。,パトリック,SLR,ニュートン,ガレン,2,SLRテスト（下肢伸展挙上）が代表的です。
181,2024年度,午後,問題 71,東洋医学臨床論,膝関節の側副靭帯損傷を確認するテストはどれか。,引出し,側方動揺,マックマレー,膝蓋跳動,2,側方からのストレスで緩みを確認します。
182,2024年度,午後,問題 72,東洋医学臨床論,橈骨手根関節の腱鞘炎を疑うテストはどれか。,フィンケルスタイン,ファレン,ティネル,アレン,1,ドケルバン病の検査として用いられます。
183,2024年度,午後,問題 73,東洋医学臨床論,変形性膝関節症で圧痛が出やすい部位はどれか。,関節裂隙,膝蓋骨上縁,脛骨粗面,腓骨頭,1,内側の関節の隙間に沿って痛みが出ます。
184,2024年度,午後,問題 74,東洋医学臨床論,足関節の外側側副靭帯損傷で最も多い機転はどれか。,外返し,内返し,背屈,圧迫,2,足首を内側に捻る受傷が最も多いです。
185,2024年度,午後,問題 75,東洋医学臨床論,肩関節周囲炎で制限されやすい動作はどれか。,結帯動作,外転動作,外旋動作,すべて制限される,4,五十肩では全方向の動きが制限されます。
186,2024年度,午後,問題 76,東洋医学臨床論,尺骨神経麻痺で見られる特徴的な手指の形はどれか。,猿手,垂れ手,鷲手,下垂手,3,内在筋麻痺による鷲手を呈します。
187,2024年度,午後,問題 77,東洋医学臨床論,橈骨神経麻痺の原因として多いのはどれか。,肘部管症候群,手根管症候群,上腕骨中隔骨折,ギヨン管症候群,3,橈骨神経溝での圧迫や骨折で起こります。
188,2024年度,午後,問題 78,東洋医学臨床論,手根管症候群で痺れが出る範囲はどれか。,手の甲全部,小指と薬指小指側,親指から薬指橈側,手首全体,3,正中神経の支配領域に痺れが出ます。
189,2024年度,午後,問題 79,東洋医学臨床論,テニス肘（外側上顆炎）のテストはどれか。,トンプソン,チェア,トーマス,ケンニッヒ,2,椅子を持ち上げる動作で痛みを確認します。
190,2024年度,午後,問題 80,東洋医学臨床論,アキレス腱断裂を確認するテストはどれか。,前方引出し,トンプソン,膝蓋跳動,ブラガード,2,下腿三頭筋の把握で底屈が起きないか見ます。
191,2024年度,午後,問題 81,はり理論,鍼の太さで、01番鍼の直径はどれか。,0.14 mm,0.16 mm,0.18 mm,0.20 mm,1,01番は0.14mmと規定されています。
192,2024年度,午後,問題 82,はり理論,折針事故が少なく最も多く使われる鍼の材質はどれか。,金,銀,ステンレス,鉄,3,折れにくく錆びないステンレスが主流です。
193,2024年度,午後,問題 83,はり理論,刺入した鍼が抜けなくなる現象を何というか。,折針,転針,滞針,運針,3,筋肉の収縮等で動かなくなる状態です。
194,2024年度,午後,問題 84,はり理論,刺手において鍼を支え安定させるのはどれか。,押手,刺手,切皮,抜針,2,刺手が鍼を持ち、刺入操作を行います。
195,2024年度,午後,問題 85,はり理論,鍼を一定の深さで上下に動かす技法はどれか。,雀啄術,振顫術,置針術,旋捻術,1,雀が餌を啄むように動かす手技です。
196,2024年度,午後,問題 86,はり理論,鍼刺激による軸索反射で末梢から放出される物質はどれか。,CGRP,アセチルコリン,ドーパミン,インスリン,1,放出されたCGRPにより血管が拡張します。
197,2024年度,午後,問題 87,はり理論,鍼鎮痛に関与する脳内麻薬様物質はどれか。,アドレナリン,エンケファリン,ヒスタミン,ヘパリン,2,エンケファリンなどが関与します。
198,2024年度,午後,問題 88,はり理論,鍼刺激が自律神経を介して内臓に影響することを何というか。,体性内臓反射,内臓体性反射,軸索反射,条件反射,1,体表への刺激が内臓反射を引き起こします。
199,2024年度,午後,問題 89,はり理論,毫鍼の構造で、持つ部分（柄）を何というか。,鍼体,鍼根,鍼尖,鍼柄,4,手で持つ部分は鍼柄（しんぺい）です。
200,2024年度,午後,問題 90,はり理論,鍼施術において、最も確実な滅菌法はどれか。,アルコール,高圧蒸気滅菌,煮沸,紫外線,2,オートクレーブによる滅菌が最も確実です。
201,2024年度,午後,問題 91,きゅう理論,透熱灸に用いる良質な艾（もぐさ）の特徴はどれか。,燃焼温度が高い,黒褐色,煙が多い,柔らかい手触り,4,良質な艾は手触りが柔らかく不純物が少ないです。
202,2024年度,午後,問題 92,きゅう理論,薬物灸はどれか。,大蒜灸,生姜灸,味噌灸,紅灸,4,皮膚に薬を塗って行う紅灸などが該当します。
203,2024年度,午後,問題 93,きゅう理論,灸施術の禁忌はどれか。,糖尿病患者,妊婦,発熱時,すべて含まれる,4,これらはすべて灸施術の禁忌に含まれます。
204,2024年度,午後,問題 94,きゅう理論,艾を直接皮膚に置かない灸法を何というか。,透熱灸,知熱灸,隔物灸,焦灼灸,3,物を挟んで行う方法を隔物灸と言います。
205,2024年度,午後,問題 95,きゅう理論,艾の原料となる植物はどれか。,ヨモギ,ドクダミ,ゲンノショウコ,カモミール,1,艾はヨモギの葉から作られます。
206,2024年度,午後,問題 96,きゅう理論,灸刺激による局所的な充血反応を何というか。,軸索反射,条件反射,逃避反射,深部反射,1,熱刺激によって血管拡張が起こります。
207,2024年度,午後,問題 97,きゅう理論,灸施術後にできる水泡の処理として適切なのはどれか。,針で潰す,自然に吸収させる,塩を塗る,お湯で洗う,2,自然に吸収されるのを待つのが適切です。
208,2024年度,午後,問題 98,きゅう理論,施灸によって血流が改善する主な仕組みはどれか。,血管収縮,血管拡張,血小板減少,血糖低下,2,軸索反射などにより血管が拡張します。
209,2024年度,午後,問題 99,きゅう理論,熱さを感じた時点で取り除く灸法はどれか。,透熱灸,知熱灸,焦灼灸,打膿灸,2,熱を感じた時に取り除く低刺激な方法です。
210,2024年度,午後,問題 100,きゅう理論,施灸部位の消毒はいつ行うのが基本か。,施術前,施術後,前後両方,行わなくてよい,1,感染予防のため、施術前に行うのが基本です。
